"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 01 10:28:38 GMT 2025","Thu May 01 10:28:39 GMT 2025","1248","","ui.SimpleUiTests","","ui.SimpleUiTests","openWebFormPageTest","openWebFormPageTest()",""
"passed","Thu May 01 10:28:36 GMT 2025","Thu May 01 10:28:36 GMT 2025","111","","apiTest.PetUserTests","","apiTest.PetUserTests","createUser","createUser()",""
"passed","Thu May 01 10:28:36 GMT 2025","Thu May 01 10:28:36 GMT 2025","128","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest3","createUserImprovedTest3()",""
"passed","Thu May 01 10:28:34 GMT 2025","Thu May 01 10:28:35 GMT 2025","130","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [3] User(id=0, username=simici2, firstName=Ivan2, lastName=Simic2, email=email2.com, password=123qwerty, phone=12345675, userStatus=0)",""
"passed","Thu May 01 10:28:39 GMT 2025","Thu May 01 10:28:40 GMT 2025","534","","ui.SimpleUiTests","","ui.SimpleUiTests","openSiteTest","openSiteTest()",""
"passed","Thu May 01 10:28:36 GMT 2025","Thu May 01 10:28:36 GMT 2025","126","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest","createUserImprovedTest()",""
"passed","Thu May 01 10:28:30 GMT 2025","Thu May 01 10:28:34 GMT 2025","3809","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=password, phone=phone, userStatus=0)",""
"passed","Thu May 01 10:28:35 GMT 2025","Thu May 01 10:28:35 GMT 2025","134","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBodyImprovedTest","checkUserResponseBodyImprovedTest()",""
"passed","Thu May 01 10:28:36 GMT 2025","Thu May 01 10:28:36 GMT 2025","129","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserImprovedTest2","createUserImprovedTest2()",""
"passed","Thu May 01 10:28:34 GMT 2025","Thu May 01 10:28:34 GMT 2025","139","","apiTest.PetUserTests","","apiTest.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=simici, firstName=Ivan, lastName=Simic, email=email.com, password=123qwerty, phone=1234567, userStatus=0)",""
"broken","Thu May 01 10:28:36 GMT 2025","Thu May 01 10:28:38 GMT 2025","1617","","ui.SimpleUiTests","","ui.SimpleUiTests","loginTest","loginTest()",""
"passed","Thu May 01 10:28:35 GMT 2025","Thu May 01 10:28:36 GMT 2025","884","","apiTest.PetUserTests","","apiTest.PetUserTests","checkUserResponseBody","checkUserResponseBody()",""
